GSS Product Name,GSS Product ID,Brand,Model,Current Everyday Price,New Everyday Price,Variance In Price,% Variance,,Current Sale Price,New Sale Price,Variance In Price,% Variance
Dragon Hype Tortoiseshell G15 Gradient LL (41910-242),10310,,41901 242,$164.95,$166.00,$1.05,0.6%,,$0.00,#REF!,#REF!,#REF!
Dragon Hype Tortoiseshell Golden (34235-240),901,Dragon,34235-240,$157.95,$166.00,$8.05,5.1%,,$0.00,#REF!,#REF!,#REF!
Dragon Hype Matte Black Rose Gold (34235-008),899,,34235-008,$157.95,$166.00,$8.05,5.1%,,$0.00,#REF!,#REF!,#REF!
Dragon Vantage Polarised H2O Matte Black Grey P2 (720-2270),1284,Dragon,720-2270,$184.95,$184.00,-$0.95,-0.5%,,$0.00,#REF!,#REF!,#REF!
Le Specs Liar Liar Gloss Tort Grey Green (1602155),393,Le Specs,1602155,$52.95,$46.46,-$6.49,-12.3%,,$0.00,#REF!,#REF!,#REF!
Le Specs Liar Liar Polarised Matte Black Grey (1802485),509,Le Specs,1802485,$62.00,$52.20,-$9.80,-15.8%,,$0.00,#REF!,#REF!,#REF!
Le Specs Liar Liar Gloss Black Grey Gradient (1902129),10223,,1902129,$62.00,$52.20,-$9.80,-15.8%,,$0.00,#REF!,#REF!,#REF!
Oakley Double Edge Polarised Matte Tortoise Prizm Tungsten (9380-07),1697,Oakley,9380-07,$247.50,$241.46,-$6.04,-2.4%,,$0.00,#REF!,#REF!,#REF!
Oakley Double Edge Polarised Matte Black Prizm Deep H20 (9380-13),1701,,9380-13,$247.50,$241.46,-$6.04,-2.4%,,$0.00,#REF!,#REF!,#REF!
Oakley Double Edge Polarised Gloss Black Prizm (9380-08),1699,,9380-08,$247.50,$241.46,-$6.04,-2.4%,,$0.00,#REF!,#REF!,#REF!
Oakley Double Edge Polarised Grey Smoke Prizm Sapphire (9380-06),1695,,9380-06,$247.50,$241.46,-$6.04,-2.4%,,$0.00,#REF!,#REF!,#REF!
Oakley Double Edge Polarised Matte Black Prizm Ruby (9380-05),1693,,9380-05,$247.50,$241.46,-$6.04,-2.4%,,$0.00,#REF!,#REF!,#REF!
Oakley Siphon Polished Black Prizm Sapphire (9429-02),1763,Oakley,9429-02,$193.50,$187.37,-$6.13,-3.2%,,$0.00,#REF!,#REF!,#REF!
Oakley Siphon Polarised Scenic Grey Prizm Black (9429-04),1767,Oakley,9429-04,$247.50,$241.46,-$6.04,-2.4%,,$0.00,#REF!,#REF!,#REF!
Oakley Siphon Polarised Crystal Black Prizm Ruby (9429-03),1765,,9429-03,$247.50,$241.46,-$6.04,-2.4%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 3548 Hex Flat Arista Crystal Green (3548 001),937,Ray Ban,3548-001,$184.50,$151.76,-$32.74,-17.7%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 4258 Shiny Havana Brown (4258 710/73),1118,Ray Ban,4258-71073,$166.50,$160.97,-$5.53,-3.3%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 4258 Gloss Black Green (4258 601/71),1116,,RB4258 601/71,$166.50,$160.97,-$5.53,-3.3%,,$0.00,#REF!,#REF!,#REF!
